TermID,Term,Definition,Owner,AllowedSynonyms,DeprecatedTerms,Status
TERM-049,False completion,Заявление о завершении без выполнения completion contract.,Architecture Board,,,APPROVED_FOR_RC
TERM-050,Compensation,Новый отдельно авторизованный Transition для устранения effect footprint.,Architecture Board,,,APPROVED_FOR_RC
TERM-051,Receipt,Неизменяемый versioned record результата решения/операции с digest.,Architecture Board,,,APPROVED_FOR_RC
TERM-052,Canonical JSON profile,Обязательный baseline wire profile ASET Protocol.,Architecture Board,,,APPROVED_FOR_RC
TERM-053,Conformance profile,"Набор обязательных модулей, гарантий и запрещённых fallback.",Architecture Board,,,APPROVED_FOR_RC
TERM-054,Fail-closed,Отказ продолжать критическое действие при неизвестности/несовместимости.,Architecture Board,,,APPROVED_FOR_RC
TERM-055,Reference implementation,"Ненормативная реализация, проверяемая conformance suite.",Architecture Board,,,APPROVED_FOR_RC
TERM-056,Freeze,Утверждение неизменяемой configuration baseline владельцем.,Architecture Board,,,APPROVED_FOR_RC
TERM-057,Freeze candidate,"Пакет, прошедший технические gates и ожидающий formal approval.",Architecture Board,,,APPROVED_FOR_RC
TERM-058,Model element ID,Устойчивый идентификатор элемента архитектурной модели.,Architecture Board,,,APPROVED_FOR_RC
TERM-059,Fit criterion,Однозначный наблюдаемый критерий выполнения требования.,Architecture Board,,,APPROVED_FOR_RC
TERM-060,Verification case,Версионированная спецификация проверки requirement.,Architecture Board,,,APPROVED_FOR_RC
TERM-061,Causal chain,Связи receipts от Task до Outcome.,Architecture Board,,,APPROVED_FOR_RC
TERM-062,Context orientation,Способность восстановить активную ситуацию и следующий осмысленный переход.,Architecture Board,,,APPROVED_FOR_RC
TERM-063,Derived index,"Восстанавливаемое представление, не являющееся источником истины.",Architecture Board,,,APPROVED_FOR_RC
TERM-064,Holographic representation,"Экспериментальный derived index/fallback, не обязательный baseline mechanism.",Architecture Board,,,APPROVED_FOR_RC
TERM-065,Strict profile,"Максимальный профиль с fail-closed, signed receipts и human gates.",Architecture Board,,,APPROVED_FOR_RC
TERM-066,Managed profile,Полный контур Monade/Core/Memory/Master/Worker/Verifier.,Architecture Board,,,APPROVED_FOR_RC
TERM-067,Advisory profile,Профиль Memory+Master без автоматического исполнения.,Architecture Board,,,APPROVED_FOR_RC
TERM-068,Contextual profile,Профиль выдачи traceable context без managed execution.,Architecture Board,,,APPROVED_FOR_RC
TERM-069,Core-only profile,Профиль независимого нормативного Core.,Architecture Board,,,APPROVED_FOR_RC
TERM-070,Unknown,Явная недостаточность данных/решения; никогда не означает allow/pass.,Architecture Board,,,APPROVED_FOR_RC
TERM-071,Indeterminate,Состояние Transition после возможного эффекта при недостаточной evidence.,Architecture Board,,,APPROVED_FOR_RC
TERM-072,Effect footprint,Доказанный или вероятный след внешнего изменения.,Architecture Board,,,APPROVED_FOR_RC
TERM-073,Legal hold,Запрет удаления данных из-за юридического/регуляторного основания.,Architecture Board,,,APPROVED_FOR_RC
TERM-074,Purpose limitation,Использование данных только для разрешённой цели.,Architecture Board,,,APPROVED_FOR_RC
TERM-075,Data minimization,Передача и хранение минимально необходимого набора данных.,Architecture Board,,,APPROVED_FOR_RC
TERM-076,ExpectedChangePatch,"Подписанный Master артефакт ожидаемого изменения, сохраняемых инвариантов и намерения приёмки.",ASET Master,,,APPROVED_FOR_RC
TERM-077,ExpectationPermit,Одноразовый Permit Core только для включения точного ExpectedChangePatch в конкретный контекст через Expectation Admission Gate.,ASET Core,,,APPROVED_FOR_RC
TERM-078,ExecutionPermit,Одноразовый Permit Core только для одного конкретного Dispatch Gate и OperationalBinding.,ASET Core,,,APPROVED_FOR_RC
TERM-079,CompositeContext,Merkle-rooted manifest неизменяемых подписанных контекстных компонентов.,ASET Protocol,Signed composite context,,APPROVED_FOR_RC
TERM-080,Gate,"Нормативная linearization point, атомарно создающая patch set, новый Context, consumption Permit и GateCrossingReceipt.",ASET Core,,,APPROVED_FOR_RC
TERM-081,PromptManifest,Воспроизводимый provider-neutral результат детерминированной компиляции проекции Context для модели.,ASET Monade.Execution,,,APPROVED_FOR_RC
TERM-082,Monade Execution,"Компонент Monade, формирующий OperationalBinding, рабочий prompt, execution intent, dispatch и observation.",ASET Monade,,,APPROVED_FOR_RC
TERM-083,Monade Acceptance,"Независимый компонент Monade, формирующий evidence, verdict, acceptance и task completion.",ASET Monade,,,APPROVED_FOR_RC
TERM-084,OperationalBinding,"Конкретизация ожидаемого изменения в actor, tool, target, operation, parameters, effect profile и reconciliation method.",ASET Monade.Execution,,,APPROVED_FOR_RC
TERM-085,GateCrossingReceipt,Подписанное Core доказательство единственного атомарного пересечения конкретного гейта.,ASET Core,,,APPROVED_FOR_RC
,Closed-world schema,JSON Schema profile that rejects every undeclared property.,,,,
,TransitionSpec,"Machine-readable reads, guards, reducer, postconditions and failure codes for one gate.",,,,
,ASET-MERKLE-1,Normative composite-context root construction profile.,,,,
,Semantic document hash,"Hash over normalized extracted document text and structural tables, used when container bytes are renderer-dependent.",,,,
