NeedID,SystemRequirementID,DerivedRequirementID,ADRRefs,ModelElementRefs,VerificationCaseID,EvidenceLocator,Result,TraceStatus
NEED-008,SYS-011,,ADR-029;ADR-030;ADR-033;ADR-035;ADR-036;ADR-042,MOD-MEM;MOD-CORE;MOD-MASTER;MOD-MONADE;MOD-GW;MOD-PROTO,VC-SYS-011,evidence/SYS-011/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-012,SYS-012,,ADR-029;ADR-030;ADR-033;ADR-035;ADR-036;ADR-042,MOD-MEM;MOD-CORE;MOD-MASTER;MOD-MONADE;MOD-GW;MOD-PROTO,VC-SYS-012,evidence/SYS-012/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-013,SYS-013,,ADR-029;ADR-030;ADR-033;ADR-035;ADR-036;ADR-042,MOD-MEM;MOD-CORE;MOD-MASTER;MOD-MONADE;MOD-GW;MOD-PROTO,VC-SYS-013,evidence/SYS-013/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-014,SYS-014,,ADR-029;ADR-030;ADR-033;ADR-035;ADR-036;ADR-042,MOD-MEM;MOD-CORE;MOD-MASTER;MOD-MONADE;MOD-GW;MOD-PROTO,VC-SYS-014,evidence/SYS-014/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-015,SYS-015,,ADR-029;ADR-030;ADR-033;ADR-035;ADR-036;ADR-042,MOD-MEM;MOD-CORE;MOD-MASTER;MOD-MONADE;MOD-GW;MOD-PROTO,VC-SYS-015,evidence/SYS-015/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-016,SYS-016,,ADR-029;ADR-030;ADR-033;ADR-035;ADR-036;ADR-042,MOD-MEM;MOD-CORE;MOD-MASTER;MOD-MONADE;MOD-GW;MOD-PROTO,VC-SYS-016,evidence/SYS-016/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-017,SYS-017,,ADR-029;ADR-030;ADR-033;ADR-035;ADR-036;ADR-042,MOD-MEM;MOD-CORE;MOD-MASTER;MOD-MONADE;MOD-GW;MOD-PROTO,VC-SYS-017,evidence/SYS-017/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-018,SYS-018,,ADR-029;ADR-030;ADR-033;ADR-035;ADR-036;ADR-042,MOD-MEM;MOD-CORE;MOD-MASTER;MOD-MONADE;MOD-GW;MOD-PROTO,VC-SYS-018,evidence/SYS-018/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-007,SYS-019,,ADR-029;ADR-030;ADR-033;ADR-035;ADR-036;ADR-042,MOD-MEM;MOD-CORE;MOD-MASTER;MOD-MONADE;MOD-GW;MOD-PROTO,VC-SYS-019,evidence/SYS-019/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-005,SYS-020,,ADR-029;ADR-030;ADR-033;ADR-035;ADR-036;ADR-042,MOD-MEM;MOD-CORE;MOD-MASTER;MOD-MONADE;MOD-GW;MOD-PROTO,VC-SYS-020,evidence/SYS-020/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-002,SYS-002,MEM-001,ADR-033;ADR-039;ADR-040,MOD-MEM;CTX-MEM,VC-MEM-001,evidence/MEM-001/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-002,SYS-002,MEM-002,ADR-033;ADR-039;ADR-040,MOD-MEM;CTX-MEM,VC-MEM-002,evidence/MEM-002/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-002,SYS-002,MEM-003,ADR-033;ADR-039;ADR-040,MOD-MEM;CTX-MEM,VC-MEM-003,evidence/MEM-003/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-002,SYS-002,MEM-004,ADR-033;ADR-039;ADR-040,MOD-MEM;CTX-MEM,VC-MEM-004,evidence/MEM-004/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-002,SYS-002,MEM-005,ADR-033;ADR-039;ADR-040,MOD-MEM;CTX-MEM,VC-MEM-005,evidence/MEM-005/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-005,SYS-002,MEM-006,ADR-033;ADR-039;ADR-040,MOD-MEM;CTX-MEM,VC-MEM-006,evidence/MEM-006/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-005,SYS-002,MEM-007,ADR-033;ADR-039;ADR-040,MOD-MEM;CTX-MEM,VC-MEM-007,evidence/MEM-007/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-002,SYS-002,MEM-008,ADR-033;ADR-039;ADR-040,MOD-MEM;CTX-MEM,VC-MEM-008,evidence/MEM-008/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-002,SYS-002,MEM-009,ADR-033;ADR-039;ADR-040,MOD-MEM;CTX-MEM,VC-MEM-009,evidence/MEM-009/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-002,SYS-002,MEM-010,ADR-033;ADR-039;ADR-040,MOD-MEM;CTX-MEM,VC-MEM-010,evidence/MEM-010/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-002,SYS-002,MEM-011,ADR-033;ADR-039;ADR-040,MOD-MEM;CTX-MEM,VC-MEM-011,evidence/MEM-011/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-014,SYS-014,MEM-012,ADR-033;ADR-039;ADR-040,MOD-MEM;CTX-MEM,VC-MEM-012,evidence/MEM-012/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-002,SYS-002,MEM-013,ADR-033;ADR-039;ADR-040,MOD-MEM;CTX-MEM,VC-MEM-013,evidence/MEM-013/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-002,SYS-002,MEM-014,ADR-033;ADR-039;ADR-040,MOD-MEM;CTX-MEM,VC-MEM-014,evidence/MEM-014/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-002,SYS-002,MEM-015,ADR-033;ADR-039;ADR-040,MOD-MEM;CTX-MEM,VC-MEM-015,evidence/MEM-015/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-017,SYS-002,MEM-016,ADR-033;ADR-039;ADR-040,MOD-MEM;CTX-MEM,VC-MEM-016,evidence/MEM-016/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-002,SYS-002,MEM-017,ADR-033;ADR-039;ADR-040,MOD-MEM;CTX-MEM,VC-MEM-017,evidence/MEM-017/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-002,SYS-002,MEM-018,ADR-033;ADR-039;ADR-040,MOD-MEM;CTX-MEM,VC-MEM-018,evidence/MEM-018/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-010,SYS-009,MEM-019,ADR-033;ADR-039;ADR-040,MOD-MEM;CTX-MEM,VC-MEM-019,evidence/MEM-019/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-008,SYS-011,MEM-020,ADR-033;ADR-039;ADR-040,MOD-MEM;CTX-MEM,VC-MEM-020,evidence/MEM-020/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-003,SYS-006,COR-001,ADR-030;ADR-031;ADR-032;ADR-034;ADR-035,MOD-CORE;CTX-AUTH;ART-RESOLUTION;ART-PERMIT;ART-CROSSING,VC-COR-001,evidence/COR-001/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-003,SYS-003,COR-002,ADR-030;ADR-031;ADR-032;ADR-034;ADR-035,MOD-CORE;CTX-AUTH;ART-RESOLUTION;ART-PERMIT;ART-CROSSING,VC-COR-002,evidence/COR-002/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-003,SYS-003,COR-003,ADR-030;ADR-031;ADR-032;ADR-034;ADR-035,MOD-CORE;CTX-AUTH;ART-RESOLUTION;ART-PERMIT;ART-CROSSING,VC-COR-003,evidence/COR-003/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-003,SYS-003,COR-004,ADR-030;ADR-031;ADR-032;ADR-034;ADR-035,MOD-CORE;CTX-AUTH;ART-RESOLUTION;ART-PERMIT;ART-CROSSING,VC-COR-004,evidence/COR-004/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-003,SYS-003,COR-005,ADR-030;ADR-031;ADR-032;ADR-034;ADR-035,MOD-CORE;CTX-AUTH;ART-RESOLUTION;ART-PERMIT;ART-CROSSING,VC-COR-005,evidence/COR-005/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-003,SYS-003,COR-006,ADR-030;ADR-031;ADR-032;ADR-034;ADR-035,MOD-CORE;CTX-AUTH;ART-RESOLUTION;ART-PERMIT;ART-CROSSING,VC-COR-006,evidence/COR-006/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-003,SYS-003,COR-007,ADR-030;ADR-031;ADR-032;ADR-034;ADR-035,MOD-CORE;CTX-AUTH;ART-RESOLUTION;ART-PERMIT;ART-CROSSING,VC-COR-007,evidence/COR-007/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-004,SYS-007,COR-008,ADR-030;ADR-031;ADR-032;ADR-034;ADR-035,MOD-CORE;CTX-AUTH;ART-RESOLUTION;ART-PERMIT;ART-CROSSING,VC-COR-008,evidence/COR-008/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-008,SYS-014,COR-009,ADR-030;ADR-031;ADR-032;ADR-034;ADR-035,MOD-CORE;CTX-AUTH;ART-RESOLUTION;ART-PERMIT;ART-CROSSING,VC-COR-009,evidence/COR-009/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-003,SYS-003,COR-010,ADR-030;ADR-031;ADR-032;ADR-034;ADR-035,MOD-CORE;CTX-AUTH;ART-RESOLUTION;ART-PERMIT;ART-CROSSING,VC-COR-010,evidence/COR-010/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-012,SYS-012,COR-011,ADR-030;ADR-031;ADR-032;ADR-034;ADR-035,MOD-CORE;CTX-AUTH;ART-RESOLUTION;ART-PERMIT;ART-CROSSING,VC-COR-011,evidence/COR-011/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-003,SYS-003,COR-012,ADR-030;ADR-031;ADR-032;ADR-034;ADR-035,MOD-CORE;CTX-AUTH;ART-RESOLUTION;ART-PERMIT;ART-CROSSING,VC-COR-012,evidence/COR-012/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-003,SYS-003,COR-013,ADR-030;ADR-031;ADR-032;ADR-034;ADR-035,MOD-CORE;CTX-AUTH;ART-RESOLUTION;ART-PERMIT;ART-CROSSING,VC-COR-013,evidence/COR-013/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-008,SYS-011,COR-014,ADR-030;ADR-031;ADR-032;ADR-034;ADR-035,MOD-CORE;CTX-AUTH;ART-RESOLUTION;ART-PERMIT;ART-CROSSING,VC-COR-014,evidence/COR-014/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-010,SYS-009,MAS-001,ADR-029;ADR-035;ADR-038,MOD-MASTER;CTX-MASTER;ART-EXPECTED,VC-MAS-001,evidence/MAS-001/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-010,SYS-009,MAS-002,ADR-029;ADR-035;ADR-038,MOD-MASTER;CTX-MASTER;ART-EXPECTED,VC-MAS-002,evidence/MAS-002/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-010,SYS-009,MAS-003,ADR-029;ADR-035;ADR-038,MOD-MASTER;CTX-MASTER;ART-EXPECTED,VC-MAS-003,evidence/MAS-003/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-010,SYS-009,MAS-004,ADR-029;ADR-035;ADR-038,MOD-MASTER;CTX-MASTER;ART-EXPECTED,VC-MAS-004,evidence/MAS-004/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-010,SYS-009,MAS-005,ADR-029;ADR-035;ADR-038,MOD-MASTER;CTX-MASTER;ART-EXPECTED,VC-MAS-005,evidence/MAS-005/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-010,SYS-009,MAS-006,ADR-029;ADR-035;ADR-038,MOD-MASTER;CTX-MASTER;ART-EXPECTED,VC-MAS-006,evidence/MAS-006/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-015,SYS-015,MAS-007,ADR-029;ADR-035;ADR-038,MOD-MASTER;CTX-MASTER;ART-EXPECTED,VC-MAS-007,evidence/MAS-007/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-010,SYS-009,MAS-008,ADR-029;ADR-035;ADR-038,MOD-MASTER;CTX-MASTER;ART-EXPECTED,VC-MAS-008,evidence/MAS-008/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-010,SYS-009,MAS-009,ADR-029;ADR-035;ADR-038,MOD-MASTER;CTX-MASTER;ART-EXPECTED,VC-MAS-009,evidence/MAS-009/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-017,SYS-017,MAS-010,ADR-029;ADR-035;ADR-038,MOD-MASTER;CTX-MASTER;ART-EXPECTED,VC-MAS-010,evidence/MAS-010/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-008,SYS-011,MAS-011,ADR-029;ADR-035;ADR-038,MOD-MASTER;CTX-MASTER;ART-EXPECTED,VC-MAS-011,evidence/MAS-011/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-007,SYS-006,MAS-012,ADR-029;ADR-035;ADR-038,MOD-MASTER;CTX-MASTER;ART-EXPECTED,VC-MAS-012,evidence/MAS-012/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-002,SYS-001,MON-001,ADR-036;ADR-038;ADR-043,MOD-MONADE;SUB-MON-EXEC;SUB-MON-ACC;CTX-TASK,VC-MON-001,evidence/MON-001/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-002,SYS-001,MON-002,ADR-036;ADR-038;ADR-043,MOD-MONADE;SUB-MON-EXEC;SUB-MON-ACC;CTX-TASK,VC-MON-002,evidence/MON-002/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-002,SYS-001,MON-003,ADR-036;ADR-038;ADR-043,MOD-MONADE;SUB-MON-EXEC;SUB-MON-ACC;CTX-TASK,VC-MON-003,evidence/MON-003/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-010,SYS-009,MON-004,ADR-036;ADR-038;ADR-043,MOD-MONADE;SUB-MON-EXEC;SUB-MON-ACC;CTX-TASK,VC-MON-004,evidence/MON-004/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-003,SYS-003,MON-005,ADR-036;ADR-038;ADR-043,MOD-MONADE;SUB-MON-EXEC;SUB-MON-ACC;CTX-TASK,VC-MON-005,evidence/MON-005/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-003,SYS-003,MON-006,ADR-036;ADR-038;ADR-043,MOD-MONADE;SUB-MON-EXEC;SUB-MON-ACC;CTX-TASK,VC-MON-006,evidence/MON-006/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-003,SYS-003,MON-007,ADR-036;ADR-038;ADR-043,MOD-MONADE;SUB-MON-EXEC;SUB-MON-ACC;CTX-TASK,VC-MON-007,evidence/MON-007/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-009,SYS-008,MON-008,ADR-036;ADR-038;ADR-043,MOD-MONADE;SUB-MON-EXEC;SUB-MON-ACC;CTX-TASK,VC-MON-008,evidence/MON-008/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-009,SYS-008,MON-009,ADR-036;ADR-038;ADR-043,MOD-MONADE;SUB-MON-EXEC;SUB-MON-ACC;CTX-TASK,VC-MON-009,evidence/MON-009/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-005,SYS-020,MON-010,ADR-036;ADR-038;ADR-043,MOD-MONADE;SUB-MON-EXEC;SUB-MON-ACC;CTX-TASK,VC-MON-010,evidence/MON-010/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-003,SYS-003,MON-011,ADR-036;ADR-038;ADR-043,MOD-MONADE;SUB-MON-EXEC;SUB-MON-ACC;CTX-TASK,VC-MON-011,evidence/MON-011/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-009,SYS-008,MON-012,ADR-036;ADR-038;ADR-043,MOD-MONADE;SUB-MON-EXEC;SUB-MON-ACC;CTX-TASK,VC-MON-012,evidence/MON-012/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-009,SYS-008,MON-013,ADR-036;ADR-038;ADR-043,MOD-MONADE;SUB-MON-EXEC;SUB-MON-ACC;CTX-TASK,VC-MON-013,evidence/MON-013/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-002,SYS-001,MON-014,ADR-036;ADR-038;ADR-043,MOD-MONADE;SUB-MON-EXEC;SUB-MON-ACC;CTX-TASK,VC-MON-014,evidence/MON-014/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-005,SYS-020,MON-015,ADR-036;ADR-038;ADR-043,MOD-MONADE;SUB-MON-EXEC;SUB-MON-ACC;CTX-TASK,VC-MON-015,evidence/MON-015/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-004,SYS-007,MON-016,ADR-036;ADR-038;ADR-043,MOD-MONADE;SUB-MON-EXEC;SUB-MON-ACC;CTX-TASK,VC-MON-016,evidence/MON-016/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-013,SYS-013,MON-017,ADR-036;ADR-038;ADR-043,MOD-MONADE;SUB-MON-EXEC;SUB-MON-ACC;CTX-TASK,VC-MON-017,evidence/MON-017/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-012,SYS-019,MON-018,ADR-036;ADR-038;ADR-043,MOD-MONADE;SUB-MON-EXEC;SUB-MON-ACC;CTX-TASK,VC-MON-018,evidence/MON-018/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-003,SYS-003,WRK-001,ADR-035;ADR-036;ADR-037;ADR-041,SUB-MON-EXEC;SUB-WORKER;SUB-PROMPT;CTX-EXEC,VC-WRK-001,evidence/WRK-001/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-003,SYS-003,WRK-002,ADR-035;ADR-036;ADR-037;ADR-041,SUB-MON-EXEC;SUB-WORKER;SUB-PROMPT;CTX-EXEC,VC-WRK-002,evidence/WRK-002/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-003,SYS-003,WRK-003,ADR-035;ADR-036;ADR-037;ADR-041,SUB-MON-EXEC;SUB-WORKER;SUB-PROMPT;CTX-EXEC,VC-WRK-003,evidence/WRK-003/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-009,SYS-008,WRK-004,ADR-035;ADR-036;ADR-037;ADR-041,SUB-MON-EXEC;SUB-WORKER;SUB-PROMPT;CTX-EXEC,VC-WRK-004,evidence/WRK-004/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-009,SYS-008,WRK-005,ADR-035;ADR-036;ADR-037;ADR-041,SUB-MON-EXEC;SUB-WORKER;SUB-PROMPT;CTX-EXEC,VC-WRK-005,evidence/WRK-005/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-017,SYS-017,WRK-006,ADR-035;ADR-036;ADR-037;ADR-041,SUB-MON-EXEC;SUB-WORKER;SUB-PROMPT;CTX-EXEC,VC-WRK-006,evidence/WRK-006/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-004,SYS-007,WRK-007,ADR-035;ADR-036;ADR-037;ADR-041,SUB-MON-EXEC;SUB-WORKER;SUB-PROMPT;CTX-EXEC,VC-WRK-007,evidence/WRK-007/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-005,SYS-020,VER-001,ADR-036;ADR-038;ADR-043,SUB-MON-ACC;SUB-VERIFIER;CTX-ACC,VC-VER-001,evidence/VER-001/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-005,SYS-020,VER-002,ADR-036;ADR-038;ADR-043,SUB-MON-ACC;SUB-VERIFIER;CTX-ACC,VC-VER-002,evidence/VER-002/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-005,SYS-020,VER-003,ADR-036;ADR-038;ADR-043,SUB-MON-ACC;SUB-VERIFIER;CTX-ACC,VC-VER-003,evidence/VER-003/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-005,SYS-020,VER-004,ADR-036;ADR-038;ADR-043,SUB-MON-ACC;SUB-VERIFIER;CTX-ACC,VC-VER-004,evidence/VER-004/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-005,SYS-020,VER-005,ADR-036;ADR-038;ADR-043,SUB-MON-ACC;SUB-VERIFIER;CTX-ACC,VC-VER-005,evidence/VER-005/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-009,SYS-008,VER-006,ADR-036;ADR-038;ADR-043,SUB-MON-ACC;SUB-VERIFIER;CTX-ACC,VC-VER-006,evidence/VER-006/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
