ID,Title,Decision,Rationale,Status,Revision,Date
ADR-031,Binary Core resolution and default deny,CoreResolution is PERMITTED or PROHIBITED. No Permit is issued unless explicit issuance conditions are satisfied; no resolution or technical failure is fail-closed.,Creates unambiguous authority semantics.,ACCEPTED_FOR_RC,1,2026-08-02
ADR-032,One document one gate one crossing,"A Permit is bound to one exact document digest, dependency context set, gate instance, crossing ID, actor/execution and one immediate crossing.",Implements least authority and prevents replay or scope transfer.,ACCEPTED_FOR_RC,1,2026-08-02
ADR-033,Immutable signed composite context,"Operational Context is a Merkle-rooted manifest of immutable components signed by semantic owners. Signatures prove origin and integrity, not truth or authority.","Supports auditability, scoped concurrency and independent ownership.",ACCEPTED_FOR_RC,1,2026-08-02
ADR-034,Gate is the linearization point,"A gate atomically validates the source dependency set and Permit, forms a deterministic patch set, creates new context components/root, updates scoped HEADs, consumes Permit and emits a crossing receipt.",Removes TOCTOU and ambiguous distributed state.,ACCEPTED_FOR_RC,1,2026-08-02
ADR-035,Expectation and execution are separately authorized,"Expectation admission and external execution use different documents, gates and incompatible one-shot Permits. ExpectationPermit never authorizes an external effect.",Prevents an authorized goal from becoming broad tool authority.,ACCEPTED_FOR_RC,1,2026-08-02
ADR-036,Two-component Monade,ASET Monade contains semantically independent Execution and Acceptance components. Execution organizes work; Acceptance independently verifies and accepts it.,Prevents self-acceptance by the executor.,ACCEPTED_FOR_RC,1,2026-08-02
ADR-037,Deterministic prompt compilation,Prompt Compiler is a deterministic Monade Execution subsystem that compiles a context projection into PromptManifest; Model Gateway only renders provider format.,Makes model input reproducible and prevents provider state becoming canonical.,ACCEPTED_FOR_RC,1,2026-08-02
ADR-038,Expected observed verified accepted are distinct,"EXPECTED, OBSERVED, VERIFIED/REJECTED/PARTIAL/UNKNOWN and TaskAcceptance are separate typed claims and transitions.",Prevents self-confirming context and false completion.,ACCEPTED_FOR_RC,1,2026-08-02
ADR-039,Memory and operational Context are distinct,ASET Memory owns long-term knowledge; operational Context is a signed task-scoped working projection that can reference Memory receipts.,Avoids invalidating execution on unrelated memory changes.,ACCEPTED_FOR_RC,1,2026-08-02
ADR-040,Scoped context dependencies,Permits declare exact read_set/write_set component digests. Only dependency changes invalidate a Permit; cross-component writes are all-or-nothing.,Enables parallelism without a single global HEAD.,ACCEPTED_FOR_RC,1,2026-08-02
ADR-041,External effect boundary,Dispatch gate commits ExecutionIntent and OutboxCommand in ASET context; it does not claim atomic or exactly-once external effect. Connectors require idempotency and reconciliation.,Makes distributed guarantees honest and implementable.,ACCEPTED_FOR_RC,1,2026-08-02
ADR-042,Machine-readable model is normative,"The JSON/YAML system model, system specification and JSON Schemas are normative package sources. Generated documents and registries must conform to them.",Prevents prose/model drift and enables automated audit.,ACCEPTED_FOR_RC,1,2026-08-02
ADR-043,Acceptance owns outcome classification,"Monade Acceptance owns VerificationVerdict, AcceptanceDecision, operational/normative outcome and TaskAcceptance; Core owns authority only.",Separates power from truth and completion.,ACCEPTED_FOR_RC,1,2026-08-02
ADR-044,Closed-world schema profile,All normative JSON artifacts reject unknown properties and validate date-time formats; OneShotPermit is a closed union of all gate-specific Permit schemas.,Prevents schema confusion and silent authority extension.,ACCEPTED_FOR_RC3,1,2026-08-02
ADR-045,Complete gate contract triads,"Every gate owns a distinct Submission, Permit and append-only Patch schema plus a machine-readable TransitionSpec.",Makes gate semantics implementable and mutation-testable.,ACCEPTED_FOR_RC3,1,2026-08-02
ADR-046,Composite context cryptographic profile,"ASET-MERKLE-1 fixes component leaf fields, canonical ordering, owner mapping and Merkle construction; Ed25519-SHA256-v1 and ASET-JCS-1 have reproducible vectors.",Eliminates ambiguity in context roots and signatures.,ACCEPTED_FOR_RC3,1,2026-08-02
ADR-047,Deterministic prompt contract,"PromptManifest binds source dependencies, projection/compiler/model/tokenizer profiles, token budget, selection policy, canonical messages and prompt bytes digest.",Makes prompt compilation reproducible and auditable.,ACCEPTED_FOR_RC3,1,2026-08-02
ADR-048,Release finalization order,Generated artifacts are rebuilt first; conformance and semantic document hashes are checked; MANIFEST and SHA256SUMS are produced last.,Prevents manifest invalidation by post-manifest document generation.,ACCEPTED_FOR_RC3,1,2026-08-02
